provider,variant,category,n_total,n_executed,success_rate,state_diff_rate,routing_errors
codex_reference,no_harness,memory_scoping,3,3,1.0,1.0,0
codex_reference,no_harness,permission_security,4,4,1.0,1.0,0
codex_reference,no_harness,replay_recovery,3,3,1.0,1.0,0
codex_reference,no_harness,stateful_tool_use,6,6,1.0,1.0,0
codex_reference,no_harness,trigger_routing,8,8,1.0,1.0,0
codex_reference,thick_checklist,memory_scoping,3,3,1.0,1.0,0
codex_reference,thick_checklist,permission_security,4,4,1.0,1.0,0
codex_reference,thick_checklist,replay_recovery,3,3,1.0,1.0,0
codex_reference,thick_checklist,stateful_tool_use,6,6,1.0,1.0,0
codex_reference,thick_checklist,trigger_routing,8,8,1.0,1.0,0
codex_reference,thin_contract,memory_scoping,3,3,1.0,1.0,0
codex_reference,thin_contract,permission_security,4,4,1.0,1.0,0
codex_reference,thin_contract,replay_recovery,3,3,1.0,1.0,0
codex_reference,thin_contract,stateful_tool_use,6,6,1.0,1.0,0
codex_reference,thin_contract,trigger_routing,8,8,1.0,1.0,0
deepseek,no_harness,memory_scoping,3,3,0.0,0.667,3
deepseek,no_harness,permission_security,4,4,0.0,0.5,4
deepseek,no_harness,replay_recovery,3,3,0.0,0.333,3
deepseek,no_harness,stateful_tool_use,6,6,0.0,0.333,6
deepseek,no_harness,trigger_routing,8,8,0.0,0.875,8
deepseek,thick_checklist,memory_scoping,3,3,1.0,1.0,0
deepseek,thick_checklist,permission_security,4,4,0.75,0.75,1
deepseek,thick_checklist,replay_recovery,3,3,0.667,0.667,1
deepseek,thick_checklist,stateful_tool_use,6,6,0.333,0.333,4
deepseek,thick_checklist,trigger_routing,8,8,0.875,1.0,1
deepseek,thin_contract,memory_scoping,3,3,1.0,1.0,0
deepseek,thin_contract,permission_security,4,4,0.25,0.5,3
deepseek,thin_contract,replay_recovery,3,3,0.667,0.667,1
deepseek,thin_contract,stateful_tool_use,6,6,0.5,0.667,2
deepseek,thin_contract,trigger_routing,8,8,0.625,1.0,3
kimi,thin_contract,trigger_routing,1,0,0.0,0.0,0
